Stock,name
5VC.SI,Kori Holdings Limited
5VI.SI,Boldtek Holdings Limited
5VJ.SI,Halcyon Agri Corporation Limited
5VP.SI,GDS Global Limited
5WA.SI,OUE Lippo Healthcare Limited
5WE.SI,Moya Holdings Asia Limited
5WF.SI,ISOTeam Ltd.
5WH.SI,Rex International Holding Limited
5WJ.SI,MoneyMax Financial Services Ltd.
5WV.SI,AsiaPhos Limited
8A1.SI,Forise International Limited
8K7.SI,UG Healthcare Corporation Limited
8YY.SI,Biolidics Limited
A04.SI,ASL Marine Holdings Ltd.
A05.SI,AVJennings Limited
A06.SI,First Sponsor Group Limited
A17U.SI,Ascendas Real Estate Investment Trust
A26.SI,Sinarmas Land Limited
A30.SI,Aspial Corporation Limited
A31.SI,Addvalue Technologies Ltd
A33.SI,Blumont Group Ltd.
A34.SI,Amara Holdings Limited
A50.SI,Thomson Medical Group Limited
A55.SI,Asia Enterprises Holding Limited
A78.SI,Shen Yao Holdings Limited
A7RU.SI,Keppel Infrastructure Trust
ACV.SI,Frasers Hospitality Trust
AGS.SI,The Hour Glass Limited
AIY.SI,iFAST Corporation Ltd.
AJ2.SI,Ouhua Energy Holdings Limited
AJBU.SI,Keppel DC REIT
AOF.SI,Amplefield Limited
AP4.SI,Riverstone Holdings Limited
AU8U.SI,CapitaLand China Trust
AUE.SI,Golden Energy and Resources Limited
AVM.SI,Boustead Projects Limited
AVV.SI,CEI Limited
AVX.SI,HL Global Enterprises Limited
AW9U.SI,First Real Estate Investment Trust
AWC.SI,Brook Crompton Holdings Ltd.
AWE.SI,SP Corporation Limited
AWG.SI,AEI Corporation Ltd.
AWI.SI,Thakral Corporation Ltd
AWM.SI,Shanghai Turbo Enterprises Ltd
AWS.SI,GYP Properties Limited
AWV.SI,Captii Limited
AWX.SI,AEM Holdings Ltd
AWZ.SI,Multi-Chem Limited
AXB.SI,Yongnam Holdings Limited
AYN.SI,Global Testing Corporation Limited
AYV.SI,Acma Ltd.
AZA.SI,IPC Corporation Ltd
AZR.SI,United Food Holdings Limited
AZT.SI,NutryFarm International Limited
AZY.SI,Pan Ocean Co.
B16.SI,GL Limited
B26.SI,Ban Leong Technologies Limited
B28.SI,Bonvests Holdings Limited
B58.SI,Banyan Tree Holdings Limited
B61.SI,Bukit Sembawang Estates Limited
B69.SI,Broadway Industrial Group Limited
B73.SI,Global Investments Limited
B9S.SI,CosmoSteel Holdings Limited
BAI.SI,SEVAK Limited
BAZ.SI,Lion Asiapac Limited
BBP.SI,Hor Kew Corporation Limited
BBW.SI,Azeus Systems Holdings Ltd.
BCD.SI,China Yuanbang Property Holdings Limited
BCV.SI,Qian Hu Corporation Limited
BCY.SI,Powermatic Data Systems Limited
BDA.SI,PNE Industries Ltd
BDF.SI,Excelpoint Technology Ltd.
BDR.SI,Willas-Array Electronics 
BDU.SI,Federal International 
BDX.SI,GSH Corporation Limited
BEC.SI,BRC Asia Limited
BEH.SI,China International Holdings Limited
BEI.SI,LHT Holdings Limited
BEW.SI,JB Foods Limited
BEZ.SI,Beng Kuang Marine Limited
BFI.SI,Tiong Seng Holdings Limited
BFK.SI,Pharmesis International Ltd.
BFU.SI,Tye Soon Limited
BHK.SI,SIIC Environment Holdings Ltd.
BHO.SI,Top Global Limited
BHQ.SI,Sunningdale Tech Ltd
BHU.SI,SUTL Enterprise Limited
BIP.SI,Vibrant Group Limited
BIX.SI,Ellipsiz Ltd
BJW.SI,Shinvest Holding Ltd.
BJZ.SI,Koda Ltd
BKA.SI,Sin Heng Heavy Machinery Limited
BKV.SI,Dukang Distillers Holdings Limited
BKW.SI,Datapulse Technology Limited
BKY.SI,Avi-Tech Electronics Limited
BLH.SI,Hai Leck Holdings Limited
BLS.SI,Hotung Investment Holdings Limited
BLU.SI,GRP Limited
BLW.SI,Global Palm Resources Holdings Limited
BLZ.SI,Advanced Holdings Ltd.
BMGU.SI,BHG Retail REIT
BMT.SI,New Silkroutes Group Limited
BN2.SI,Valuetronics Holdings Limited
BN4.SI,Keppel Corporation Limited
BNE.SI,Kencana Agri Limited
BOU.SI,Informatics Education Ltd.
BPF.SI,YHI International Limited
BQC.SI,A-Smart Holdings Ltd.
BQD.SI,Envictus International Holdings Limited
BQF.SI,XMH Holdings Ltd.
BQM.SI,Tiong Woon Corporation Holding Ltd
BQN.SI,BH Global Corporation Limited
BRD.SI,Sapphire Corporation Limited
BRS.SI,USP Group Limited
BS6.SI,Yangzijiang Shipbuilding 
BSL.SI,Raffles Medical Group Ltd
BTE.SI,Bund Center Investment Ltd
BTG.SI,HG Metal Manufacturing Limited
BTJ.SI,A-Sonic Aerospace Limited
BTM.SI,Penguin International Limited
BTOU.SI,Manulife US Real Estate Investment Trust
BTP.SI,Baker Technology Limited
BTX.SI,Anchun International Holdings Ltd.
BUOU.SI,Frasers Logistics & Commercial Trust
BVA.SI,Top Glove Corporation Bhd.
BVQ.SI,Procurri Corporation Limited
BWCU.SI,EC World Real Estate Investment Trust
BWM.SI,Zheneng Jinjiang Environment Holding Company Limited
BXE.SI,CDW Holding Limited
C04.SI,Casa Holdings Limited
C05.SI,Chemical Industries 
C06.SI,CSC Holdings Limited
C07.SI,Jardine Cycle & Carriage Limited
C09.SI,City Developments Limited
C13.SI,CH Offshore Ltd.
C29.SI,Chip Eng Seng Corporation Ltd
C2PU.SI,Parkway Life Real Estate Investment Trust
C31.SI,CapitaLand Limited
C33.SI,Chuan Hup Holdings Limited
C38U.SI,CapitaLand Integrated Commercial Trust
C41.SI,Cortina Holdings Limited
C50.SI,Cheung Woh Technologies Ltd
C52.SI,ComfortDelGro Corporation Limited
C6L.SI,Singapore Airlines Limited
C70.SI,City Developments Limited 3.9% NCCPS
C76.SI,Creative Technology Ltd
